X,Y,OBJECTID,SENSOR_UNIQUE_ID,GPSX,GPSY,MTYPE,SENSOR_STATUS,PMZ,PMZ2,ADDRESS_SPACE,TOOLTIP,NLA_URL
-118.344230421795,34.0954049744101,1,SV670,-118.344218,34.0954,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV670\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=1
-118.344231513753,34.09545648136,2,SV669,-118.344219,34.095452,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV669\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=2
-118.344227818188,34.0950462604504,3,SV671,-118.344216,34.095041,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV671\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=3
-118.344232119283,34.095800232844,4,SV667,-118.34422,34.095795,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV667\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=4
-118.344232734282,34.0958517032891,5,SV666,-118.344221,34.095847,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV666\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=5
-118.344235275515,34.0959870217517,6,SV664,-118.344223,34.095982,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV664\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=6
-118.344232432442,34.0956485938893,7,SV668,-118.34422,34.095644,IPS,3,SV,SV6,1301 N LA BREA AVE,Address Space: 1301 N LA BREA AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV668\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7
-118.343834057228,34.0961087335561,8,SV689,-118.343822,34.096104,IPS,3,SV,SV6,7000 W DE LONGPRE AVE,Address Space: 7000 W DE LONGPRE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV689\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8
-118.343679971989,34.0961100247901,9,SV691,-118.343668,34.096105,IPS,3,SV,SV6,7000 W DE LONGPRE AVE,Address Space: 7000 W DE LONGPRE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV691\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=9
-118.343771232657,34.0961090502546,10,SV690,-118.343759,34.096104,IPS,3,SV,SV6,7000 W DE LONGPRE AVE,Address Space: 7000 W DE LONGPRE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV690\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=10
-118.322243343307,34.0985812279721,11,SV528,-118.322231,34.098576,IPS,3,SV,SV5,1500 N GOWER ST,Address Space: 1500 N GOWER ST\nType: IPS’\nAs of: 06/17/2015\nID: SV528\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=11
-118.322242131686,34.0986599585349,12,SV529,-118.32223,34.098655,IPS,3,SV,SV5,1500 N GOWER ST,Address Space: 1500 N GOWER ST\nType: IPS’\nAs of: 06/17/2015\nID: SV529\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=12
-118.322244206627,34.0987163917153,13,SV530,-118.322232,34.098712,IPS,3,SV,SV5,1500 N GOWER ST,Address Space: 1500 N GOWER ST\nType: IPS’\nAs of: 06/17/2015\nID: SV530\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=13
-118.322240562666,34.0982617985615,14,SV525,-118.322228,34.098257,IPS,3,SV,SV5,1500 N GOWER ST,Address Space: 1500 N GOWER ST\nType: IPS’\nAs of: 06/17/2015\nID: SV525\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=14
-118.325661696971,34.0981228144063,15,SV353,-118.32565,34.098118,IPS,3,SV,SV3,6201 W SUNSET BLVD,Address Space: 6201 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV353\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=15
-118.325502161038,34.0981237933216,16,SV351,-118.32549,34.098119,IPS,3,SV,SV3,6201 W SUNSET BLVD,Address Space: 6201 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV351\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=16
-118.325756689134,34.0981232669485,17,SV354,-118.325745,34.098118,IPS,3,SV,SV3,6201 W SUNSET BLVD,Address Space: 6201 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV354\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=17
-118.32543569147,34.0981246512214,18,SV350,-118.325424,34.09812,IPS,3,SV,SV3,6201 W SUNSET BLVD,Address Space: 6201 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV350\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=18
-118.325819490898,34.0981230976174,19,SV355,-118.325807,34.098118,IPS,3,SV,SV3,6201 W SUNSET BLVD,Address Space: 6201 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV355\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=19
-118.325070477831,34.098760790108,20,SV577,-118.325058,34.098756,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV577\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=20
-118.32506827952,34.0986867719848,21,SV576A,-118.325056,34.098682,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV576A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=21
-118.32506846165,34.0983620182938,22,SV575,-118.325056,34.098357,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV575\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=22
-118.325070239478,34.0984142925528,23,SV575A,-118.325058,34.098409,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV575A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=23
-118.3250684919,34.0986312892217,24,SV576,-118.325056,34.098626,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV576\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=24
-118.325069386311,34.0988156495721,25,SV577A,-118.325057,34.098811,IPS,3,SV,SV5,1500 N ARGYLE AVE,Address Space: 1500 N ARGYLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV577A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=25
-118.325861653155,34.0971083112658,26,SV893,-118.32585,34.097103,IPS,3,SV,SV8,6201 W LELAND WAY,Address Space: 6201 W LELAND WAY\nType: IPS’\nAs of: 06/17/2015\nID: SV893\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=26
-118.328904395678,34.0973408774261,27,SV290A,-118.328892,34.097336,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV290A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=27
-118.328898080612,34.0964116918055,28,SV293A,-118.328886,34.096407,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV293A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=28
-118.328901997866,34.096778355685,29,SV291B,-118.32889,34.096773,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV291B\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=29
-118.328904114237,34.097513986215,30,SV288,-118.328892,34.097509,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV288\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=30
-118.328898664252,34.096534735159,31,SV292A,-118.328887,34.09653,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV292A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=31
-118.328905062336,34.0976456526541,32,SV286,-118.328893,34.097641,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV286\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=32
-118.328903400337,34.0974523331595,33,SV289,-118.328891,34.097447,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV289\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=33
-118.32890106198,34.096912365828,34,SV291,-118.328889,34.096907,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV291\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=34
-118.328905357866,34.0977207892878,35,SV285,-118.328893,34.097716,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV285\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=35
-118.328901723992,34.096861915094,36,SV291A,-118.32889,34.096857,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV291A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=36
-118.328904418208,34.0975912693775,37,SV287,-118.328892,34.097586,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV287\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=37
-118.328903739294,34.0973927597814,38,SV290,-118.328892,34.097388,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV290\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=38
-118.328898763204,34.0965852424207,39,SV292,-118.328887,34.09658,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV292\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=39
-118.328898151697,34.0964614508697,40,SV293,-118.328886,34.096457,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV293\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=40
-118.328905135921,34.0977737432865,41,SV284,-118.328893,34.097769,IPS,3,SV,SV2,1401 N IVAR AVE,Address Space: 1401 N IVAR AVE\nType: IPS’\nAs of: 06/17/2015\nID: SV284\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=41
-118.332702230158,34.0978922390066,42,SV215,-118.33269,34.097887,IPS,3,SV,SV2,6500 W SUNSET BLVD,Address Space: 6500 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV215\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=42
-118.332856919892,34.0978908591448,43,SV213,-118.332845,34.097886,IPS,3,SV,SV2,6500 W SUNSET BLVD,Address Space: 6500 W SUNSET BLVD\nType: IPS’\nAs of: 06/17/2015\nID: SV213\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=43
